Run,Timestamp,Metric
1,2025-05-27T15:45:22,Round-trip time: 231 microseconds
2,2025-05-27T15:45:23,
3,2025-05-27T15:45:24,Round-trip time: 268 microseconds
4,2025-05-27T15:45:25,Round-trip time: 192 microseconds
5,2025-05-27T15:45:26,Round-trip time: 273 microseconds
6,2025-05-27T15:45:27,Round-trip time: 305 microseconds
7,2025-05-27T15:45:28,Round-trip time: 259 microseconds
8,2025-05-27T15:45:29,Round-trip time: 145 microseconds
9,2025-05-27T15:45:30,Round-trip time: 235 microseconds
10,2025-05-27T15:45:31,Round-trip time: 248 microseconds
11,2025-05-27T15:45:32,Round-trip time: 258 microseconds
12,2025-05-27T15:45:33,Round-trip time: 267 microseconds
13,2025-05-27T15:45:34,Round-trip time: 271 microseconds
14,2025-05-27T15:45:35,Round-trip time: 248 microseconds
15,2025-05-27T15:45:36,Round-trip time: 144 microseconds
16,2025-05-27T15:45:37,Round-trip time: 255 microseconds
17,2025-05-27T15:45:38,Round-trip time: 288 microseconds
18,2025-05-27T15:45:39,Round-trip time: 94 microseconds
19,2025-05-27T15:45:40,Round-trip time: 286 microseconds
20,2025-05-27T15:45:41,Round-trip time: 292 microseconds
21,2025-05-27T15:45:43,Round-trip time: 236 microseconds
22,2025-05-27T15:45:44,Round-trip time: 278 microseconds
23,2025-05-27T15:45:45,
24,2025-05-27T15:45:46,Round-trip time: 91 microseconds
25,2025-05-27T15:45:47,Round-trip time: 265 microseconds
26,2025-05-27T15:45:48,Round-trip time: 159 microseconds
27,2025-05-27T15:45:49,Round-trip time: 180 microseconds
28,2025-05-27T15:45:50,Round-trip time: 237 microseconds
29,2025-05-27T15:45:51,Round-trip time: 257 microseconds
30,2025-05-27T15:45:52,Round-trip time: 163 microseconds
31,2025-05-27T15:45:53,Round-trip time: 237 microseconds
32,2025-05-27T15:45:54,Round-trip time: 158 microseconds
33,2025-05-27T15:45:55,Round-trip time: 212 microseconds
34,2025-05-27T15:45:56,Round-trip time: 138 microseconds
35,2025-05-27T15:45:57,Round-trip time: 259 microseconds
36,2025-05-27T15:45:58,Round-trip time: 245 microseconds
37,2025-05-27T15:45:59,Round-trip time: 207 microseconds
38,2025-05-27T15:46:00,Round-trip time: 131 microseconds
39,2025-05-27T15:46:01,Round-trip time: 265 microseconds
40,2025-05-27T15:46:02,Round-trip time: 197 microseconds
41,2025-05-27T15:46:03,Round-trip time: 239 microseconds
42,2025-05-27T15:46:04,Round-trip time: 168 microseconds
43,2025-05-27T15:46:05,Round-trip time: 229 microseconds
44,2025-05-27T15:46:06,Round-trip time: 305 microseconds
45,2025-05-27T15:46:07,Round-trip time: 287 microseconds
46,2025-05-27T15:46:08,Round-trip time: 268 microseconds
47,2025-05-27T15:46:09,Round-trip time: 136 microseconds
48,2025-05-27T15:46:10,Round-trip time: 247 microseconds
49,2025-05-27T15:46:11,Round-trip time: 231 microseconds
50,2025-05-27T15:46:12,Round-trip time: 232 microseconds
51,2025-05-27T15:46:13,Round-trip time: 289 microseconds
52,2025-05-27T15:46:14,Round-trip time: 277 microseconds
53,2025-05-27T15:46:15,Round-trip time: 269 microseconds
54,2025-05-27T15:46:16,Round-trip time: 138 microseconds
55,2025-05-27T15:46:17,Round-trip time: 300 microseconds
56,2025-05-27T15:46:18,Round-trip time: 233 microseconds
57,2025-05-27T15:46:19,Round-trip time: 237 microseconds
58,2025-05-27T15:46:20,Round-trip time: 173 microseconds
59,2025-05-27T15:46:21,Round-trip time: 200 microseconds
60,2025-05-27T15:46:23,Round-trip time: 174 microseconds
61,2025-05-27T15:46:24,Round-trip time: 276 microseconds
62,2025-05-27T15:46:25,Round-trip time: 260 microseconds
63,2025-05-27T15:46:26,Round-trip time: 242 microseconds
64,2025-05-27T15:46:27,Round-trip time: 140 microseconds
65,2025-05-27T15:46:28,Round-trip time: 286 microseconds
66,2025-05-27T15:46:29,Round-trip time: 166 microseconds
67,2025-05-27T15:46:30,Round-trip time: 239 microseconds
68,2025-05-27T15:46:31,Round-trip time: 164 microseconds
69,2025-05-27T15:46:32,Round-trip time: 230 microseconds
70,2025-05-27T15:46:33,Round-trip time: 234 microseconds
71,2025-05-27T15:46:34,Round-trip time: 213 microseconds
72,2025-05-27T15:46:35,Round-trip time: 177 microseconds
73,2025-05-27T15:46:36,Round-trip time: 238 microseconds
74,2025-05-27T15:46:37,Round-trip time: 154 microseconds
75,2025-05-27T15:46:38,Round-trip time: 252 microseconds
76,2025-05-27T15:46:39,Round-trip time: 141 microseconds
77,2025-05-27T15:46:40,Round-trip time: 171 microseconds
78,2025-05-27T15:46:41,Round-trip time: 99 microseconds
79,2025-05-27T15:46:42,Round-trip time: 239 microseconds
80,2025-05-27T15:46:43,Round-trip time: 250 microseconds
81,2025-05-27T15:46:44,Round-trip time: 244 microseconds
82,2025-05-27T15:46:45,Round-trip time: 269 microseconds
83,2025-05-27T15:46:46,Round-trip time: 225 microseconds
84,2025-05-27T15:46:47,Round-trip time: 237 microseconds
85,2025-05-27T15:46:48,Round-trip time: 254 microseconds
86,2025-05-27T15:46:49,Round-trip time: 284 microseconds
87,2025-05-27T15:46:50,Round-trip time: 273 microseconds
88,2025-05-27T15:46:51,Round-trip time: 245 microseconds
89,2025-05-27T15:46:52,Round-trip time: 232 microseconds
90,2025-05-27T15:46:53,Round-trip time: 232 microseconds
91,2025-05-27T15:46:54,Round-trip time: 229 microseconds
92,2025-05-27T15:46:55,Round-trip time: 132 microseconds
93,2025-05-27T15:46:56,Round-trip time: 265 microseconds
94,2025-05-27T15:46:57,Round-trip time: 246 microseconds
95,2025-05-27T15:46:59,Round-trip time: 259 microseconds
96,2025-05-27T15:47:00,Round-trip time: 232 microseconds
97,2025-05-27T15:47:01,Round-trip time: 126 microseconds
98,2025-05-27T15:47:02,Round-trip time: 140 microseconds
99,2025-05-27T15:47:03,Round-trip time: 127 microseconds
100,2025-05-27T15:47:04,Round-trip time: 174 microseconds
