Run,Timestamp,Metric
1,2025-05-27T15:48:47,Round-trip latency: 21959.9 us
2,2025-05-27T15:48:51,Round-trip latency: 21566 us
3,2025-05-27T15:48:54,Round-trip latency: 19337 us
4,2025-05-27T15:48:57,Round-trip latency: 17804.5 us
5,2025-05-27T15:49:00,Round-trip latency: 19742.2 us
6,2025-05-27T15:49:03,Round-trip latency: 22234.7 us
7,2025-05-27T15:49:06,Round-trip latency: 23068.9 us
8,2025-05-27T15:49:09,Round-trip latency: 22809.1 us
9,2025-05-27T15:49:13,Round-trip latency: 21309.6 us
10,2025-05-27T15:49:16,Round-trip latency: 22671.1 us
11,2025-05-27T15:49:19,Round-trip latency: 21781.6 us
12,2025-05-27T15:49:22,Round-trip latency: 22787.9 us
13,2025-05-27T15:49:25,Round-trip latency: 21905.8 us
14,2025-05-27T15:49:28,Round-trip latency: 18096.3 us
15,2025-05-27T15:49:31,Round-trip latency: 22476 us
16,2025-05-27T15:49:35,Round-trip latency: 22785 us
17,2025-05-27T15:49:38,Round-trip latency: 22089.6 us
18,2025-05-27T15:49:41,Round-trip latency: 20137.2 us
19,2025-05-27T15:49:44,Round-trip latency: 15899.1 us
20,2025-05-27T15:49:47,Round-trip latency: 23761.9 us
21,2025-05-27T15:49:50,Round-trip latency: 19485 us
22,2025-05-27T15:49:54,Round-trip latency: 19848.5 us
23,2025-05-27T15:49:57,Round-trip latency: 21470.4 us
24,2025-05-27T15:50:00,Round-trip latency: 19439.6 us
25,2025-05-27T15:50:03,Round-trip latency: 21280.7 us
26,2025-05-27T15:50:06,Round-trip latency: 20108.2 us
27,2025-05-27T15:50:09,Round-trip latency: 16840.1 us
28,2025-05-27T15:50:12,Round-trip latency: 21565.2 us
29,2025-05-27T15:50:16,Round-trip latency: 20897.4 us
30,2025-05-27T15:50:19,Round-trip latency: 9800.18 us
31,2025-05-27T15:50:22,Round-trip latency: 21229.7 us
32,2025-05-27T15:50:25,Round-trip latency: 18169.2 us
33,2025-05-27T15:50:28,Round-trip latency: 17169 us
34,2025-05-27T15:50:31,Round-trip latency: 17150.4 us
35,2025-05-27T15:50:34,Round-trip latency: 15646.6 us
36,2025-05-27T15:50:38,Round-trip latency: 22736.3 us
37,2025-05-27T15:50:41,Round-trip latency: 20361.3 us
38,2025-05-27T15:50:44,Round-trip latency: 21245.2 us
39,2025-05-27T15:50:47,Round-trip latency: 19987.8 us
40,2025-05-27T15:50:50,Round-trip latency: 12349.6 us
41,2025-05-27T15:50:53,Round-trip latency: 14493.7 us
42,2025-05-27T15:50:57,Round-trip latency: 16517 us
43,2025-05-27T15:51:00,Round-trip latency: 21213.2 us
44,2025-05-27T15:51:03,Round-trip latency: 19180.6 us
45,2025-05-27T15:51:06,Round-trip latency: 20803.8 us
46,2025-05-27T15:51:09,Round-trip latency: 20204.6 us
47,2025-05-27T15:51:12,Round-trip latency: 20447.2 us
48,2025-05-27T15:51:15,Round-trip latency: 20309.1 us
49,2025-05-27T15:51:19,Round-trip latency: 17344.1 us
50,2025-05-27T15:51:22,Round-trip latency: 20389.1 us
51,2025-05-27T15:51:25,Round-trip latency: 16891.9 us
52,2025-05-27T15:51:28,Round-trip latency: 21575.5 us
53,2025-05-27T15:51:31,Round-trip latency: 21699.3 us
54,2025-05-27T15:51:34,Round-trip latency: 21766.2 us
55,2025-05-27T15:51:38,Round-trip latency: 20500.1 us
56,2025-05-27T15:51:41,Round-trip latency: 21404 us
57,2025-05-27T15:51:44,Round-trip latency: 13083 us
58,2025-05-27T15:51:47,Round-trip latency: 20653 us
59,2025-05-27T15:51:50,Round-trip latency: 13587.1 us
60,2025-05-27T15:51:53,Round-trip latency: 16840.5 us
61,2025-05-27T15:51:57,Round-trip latency: 17563.6 us
62,2025-05-27T15:52:00,Round-trip latency: 10570.3 us
63,2025-05-27T15:52:03,Round-trip latency: 21404.5 us
64,2025-05-27T15:52:06,Round-trip latency: 20528.5 us
65,2025-05-27T15:52:09,Round-trip latency: 19613.4 us
66,2025-05-27T15:52:12,Round-trip latency: 16618.2 us
67,2025-05-27T15:52:15,Round-trip latency: 17683.4 us
68,2025-05-27T15:52:19,Round-trip latency: 21608.2 us
69,2025-05-27T15:52:22,Round-trip latency: 20439.9 us
70,2025-05-27T15:52:25,Round-trip latency: 20170.5 us
71,2025-05-27T15:52:28,Round-trip latency: 22021.3 us
72,2025-05-27T15:52:31,Round-trip latency: 16722.5 us
73,2025-05-27T15:52:34,Round-trip latency: 17316.1 us
74,2025-05-27T15:52:38,Round-trip latency: 21468.7 us
75,2025-05-27T15:52:41,Round-trip latency: 20043.5 us
76,2025-05-27T15:52:44,Round-trip latency: 19598.9 us
77,2025-05-27T15:52:47,Round-trip latency: 21287.5 us
78,2025-05-27T15:52:50,Round-trip latency: 21074.3 us
79,2025-05-27T15:52:53,Round-trip latency: 17874.6 us
80,2025-05-27T15:52:56,Round-trip latency: 10514.5 us
81,2025-05-27T15:53:00,Round-trip latency: 17802.6 us
82,2025-05-27T15:53:03,Round-trip latency: 21229.6 us
83,2025-05-27T15:53:06,Round-trip latency: 21535.1 us
84,2025-05-27T15:53:09,Round-trip latency: 21772.3 us
85,2025-05-27T15:53:12,Round-trip latency: 21129.5 us
86,2025-05-27T15:53:15,Round-trip latency: 22181.2 us
87,2025-05-27T15:53:18,Round-trip latency: 14951 us
88,2025-05-27T15:53:22,Round-trip latency: 22229 us
89,2025-05-27T15:53:25,Round-trip latency: 11143.3 us
90,2025-05-27T15:53:28,Round-trip latency: 15377.8 us
